texto,emocion
Estoy muy feliz con mis resultados,joy
Hoy es un día maravilloso,joy
Me encanta pasar tiempo con mi familia,joy
Qué alegría verte de nuevo,joy
Estoy emocionado por las vacaciones,joy
Me gusta mucho este lugar,joy
Siento una gran felicidad,joy
Todo me sale bien hoy,joy
Estoy muy contento con mi trabajo,joy
Qué hermoso día hace,joy
Me siento afortunado de estar aquí,joy
Esto es lo mejor que me ha pasado,joy
Estoy radiante de felicidad,joy
Qué buena noticia recibí,joy
Me llena de alegría verte sonreír,joy
Estoy en las nubes de felicidad,joy
Qué bonito es compartir con ustedes,joy
Me siento pleno y satisfecho,joy
Esta experiencia me hace muy feliz,joy
Estoy disfrutando cada momento,joy
Qué emoción más grande siento,joy
Me fascina todo esto,joy
Estoy muy animado hoy,joy
Siento paz y alegría en mi corazón,joy
Qué maravilloso es estar vivo,joy
Me encanta cuando pasan estas cosas,joy
Estoy rebosante de felicidad,joy
Qué bien me siento en este momento,joy
Me alegra tanto verte bien,joy
Esto supera todas mis expectativas,joy
Estoy muy orgulloso de este logro,joy
Qué hermosa sorpresa me diste,joy
Me siento bendecido hoy,joy
Estoy lleno de energía positiva,joy
Qué satisfacción más grande tengo,joy
Me hace muy feliz estar aquí contigo,joy
Estoy disfrutando al máximo,joy
Qué alegría tan inmensa siento,joy
Me encanta cómo están saliendo las cosas,joy
Estoy viviendo un momento perfecto,joy
Me siento muy triste,sadness
Extraño mucho a mi familia,sadness
Hoy fue un día terrible,sadness
Me siento solo y abandonado,sadness
Perdí algo muy importante para mí,sadness
Nada me hace feliz últimamente,sadness
Me duele el corazón,sadness
Quisiera que las cosas fueran diferentes,sadness
No tengo ganas de hacer nada,sadness
Me siento deprimido,sadness
Todo está saliendo mal,sadness
Me siento vacío por dentro,sadness
No encuentro sentido a nada,sadness
Estoy pasando por un momento muy difícil,sadness
Me siento desesperanzado,sadness
Ya no sé qué hacer con mi vida,sadness
Me duele tanto esta situación,sadness
Siento un gran vacío en mi pecho,sadness
No puedo dejar de llorar,sadness
Me siento derrotado,sadness
Todo me recuerda lo que perdí,sadness
Estoy atravesando una época oscura,sadness
Me siento desanimado,sadness
No tengo fuerzas para continuar,sadness
Me invade una profunda tristeza,sadness
Siento que todo está perdido,sadness
Me duele ver cómo terminó todo,sadness
Estoy sumido en la melancolía,sadness
No encuentro consuelo,sadness
Me siento abatido,sadness
Todo me causa dolor,sadness
Estoy viviendo días muy grises,sadness
Me siento hundido,sadness
No veo salida a esta situación,sadness
Me embarga una gran tristeza,sadness
Siento que mi mundo se derrumbó,sadness
Estoy muy afligido,sadness
Me cuesta tanto seguir adelante,sadness
Siento un dolor profundo,sadness
Estoy pasando por momentos muy duros,sadness
Estoy muy enojado contigo,anger
Me molesta mucho esta situación,anger
No puedo creer lo que hiciste,anger
Esto es completamente injusto,anger
Me indigna tu actitud,anger
Estoy furioso por lo que pasó,anger
No voy a tolerar esto,anger
Me saca de quicio tu comportamiento,anger
Esto me pone de mal humor,anger
Estoy harto de esta situación,anger
Me hierve la sangre de rabia,anger
Esto es intolerable,anger
Me dan ganas de gritar,anger
Estoy que exploto de ira,anger
No soporto más esta injusticia,anger
Me enfurece esta falta de respeto,anger
Esto me pone realmente furioso,anger
Ya perdí la paciencia,anger
Me irrita profundamente esta actitud,anger
Estoy muy molesto con todo esto,anger
Me exaspera esta situación,anger
Siento mucha rabia contenida,anger
Esto me hace enojar muchísimo,anger
Me indigna tanto abuso,anger
Estoy cansado de aguantar esto,anger
Me molesta que no me escuchen,anger
Esto me provoca mucha ira,anger
Me enfada tu falta de consideración,anger
Estoy muy irritado,anger
Me cabrea esta actitud,anger
Esto me encoleriza,anger
Me fastidia mucho esta situación,anger
Estoy realmente indignado,anger
Me irrita hasta el límite,anger
Esto me saca de mis casillas,anger
Me molesta profundamente,anger
Estoy que reviento de rabia,anger
Me da mucha ira esto,anger
Estoy verdaderamente furioso,anger
Me enfurece tanto descaro,anger
Tengo mucho miedo,fear
Me asusta pensar en eso,fear
Estoy aterrado por lo que puede pasar,fear
Me da pánico esta situación,fear
Siento mucha ansiedad,fear
Tengo temor de fracasar,fear
Me preocupa mucho el futuro,fear
Estoy nervioso por el examen,fear
Me da miedo la oscuridad,fear
Temo que algo malo suceda,fear
Me aterra esa posibilidad,fear
Siento escalofríos de miedo,fear
Me da pavor pensar en eso,fear
Estoy muy asustado,fear
Me invade el terror,fear
Tengo un mal presentimiento,fear
Me angustia mucho esta situación,fear
Siento pánico en este momento,fear
Me dan escalofríos,fear
Estoy paralizado de miedo,fear
Me produce mucho temor,fear
Tengo miedo de equivocarme,fear
Me aterra lo desconocido,fear
Siento terror ante esto,fear
Me da mucho miedo fracasar,fear
Estoy muy preocupado,fear
Me espanta esta situación,fear
Tengo pavor de lo que viene,fear
Me inquieta profundamente,fear
Siento ansiedad extrema,fear
Me asusta mucho este riesgo,fear
Tengo miedo de las consecuencias,fear
Me atemoriza tanto,fear
Estoy lleno de temor,fear
Me da pánico escénico,fear
Siento terror en mi interior,fear
Me asusta lo que pueda pasar,fear
Tengo miedo constante,fear
Me aterra la incertidumbre,fear
Siento mucho pavor,fear
No puedo creer lo que veo,surprise
Esto es totalmente inesperado,surprise
Qué sorpresa más grande,surprise
Jamás me imaginé esto,surprise
Me dejaste sin palabras,surprise
Estoy asombrado,surprise
No me lo esperaba para nada,surprise
Qué impresionante,surprise
Me sorprende mucho tu decisión,surprise
Esto me toma por sorpresa,surprise
Qué increíble todo esto,surprise
No puedo creerlo,surprise
Estoy realmente sorprendido,surprise
Qué cosa tan inesperada,surprise
Me ha dejado boquiabierto,surprise
Esto sí que no me lo esperaba,surprise
Qué sorpresa tan agradable,surprise
Estoy impactado,surprise
No doy crédito a lo que veo,surprise
Qué asombro me causa esto,surprise
Me has dejado perplejo,surprise
Esto me toma desprevenido,surprise
Qué noticia tan sorprendente,surprise
Me quedé sin habla,surprise
No me lo puedo creer,surprise
Qué cosa tan impresionante,surprise
Estoy estupefacto,surprise
Qué revelación más inesperada,surprise
Me sorprende gratamente,surprise
No esperaba esto en absoluto,surprise
Qué giro tan sorprendente,surprise
Estoy completamente asombrado,surprise
Me ha pillado de sorpresa,surprise
Qué descubrimiento tan increíble,surprise
Esto supera mis expectativas,surprise
Me sorprende tanto,surprise
Qué maravilla inesperada,surprise
Estoy pasmado,surprise
No puedo salir de mi asombro,surprise
Qué sorpresa me has dado,surprise